,name,level,record_longest_win_streak,losses,total_games_played,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak
190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,Heshy070-_-,145.0,21.0,720.0,11287.0,0.7708333134651184,11287.0,41326.0,555.0,1.788583517074585,9267.0,73915.0,11632.0,20.0
192,Unl1m1t3d-sh0ts,839.0,13.0,1496.0,16728.0,0.5548128485679626,16728.0,61229.0,830.0,1.4640448093414307,18243.0,89642.0,18412.0,19.0
193,DonkeyKriss,311.0,42.0,882.0,8398.0,0.30385488271713257,8398.0,28520.0,268.0,1.077699899673462,1202.0,30736.0,7026.0,14.0
194,Mr_Smeagol1995,809.0,98.0,1814.0,20497.0,0.47684675455093384,20497.0,82849.0,865.0,1.5771946907043457,4137.0,130669.0,32617.0,21.0
195,as-creed-II,242.0,23.0,563.0,4996.0,0.27531084418296814,4996.0,11748.0,155.0,1.5018726587295532,607.0,17644.0,2915.0,14.0
196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
199,Praven_2,459.0,20.0,865.0,6333.0,0.44393062591552734,6333.0,29447.0,384.0,1.575882077217102,9987.0,46405.0,8756.0,19.0
200,King-o-Scotland7,918.0,66.0,772.0,12070.0,0.14507772028446198,12070.0,30992.0,112.0,1.316436529159546,12889.0,40799.0,8934.0,14.0
201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
203,DeKoudeJager,363.0,25.0,571.0,8509.0,0.045534148812294006,8509.0,23830.0,26.0,1.5451531410217285,5743.0,36821.0,10012.0,9.0
204,DeckKeetz,722.0,45.0,412.0,7832.0,0.6601941585540771,7832.0,24036.0,272.0,1.9385088682174683,10249.0,46594.0,12511.0,13.0
205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
207,TTV-NRG46,901.0,103.0,1026.0,8552.0,2.622807025909424,8552.0,67330.0,2691.0,1.8627803325653076,4413.0,125421.0,16684.0,32.0
208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
